Title,Product Link,Image URL,Price
VITO VEST,https://www.aritzia.com/en/product/vito-vest/113482.html?dwvar_113482_color=11420,https://assets.aritzia.com/image/upload/medium/s25_a04_113482_11420_on_b.jpg,$88.50-$118
DENIRO VEST,https://www.aritzia.com/en/product/deniro-vest/108974.html?dwvar_108974_color=11420,https://assets.aritzia.com/image/upload/medium/f24_a04_108974_11420_on_b.jpg,$46.99-$118
ARBUS BLAZER,https://www.aritzia.com/en/product/arbus-blazer/122903.html?dwvar_122903_color=2819,https://assets.aritzia.com/image/upload/medium/f24_a04_122903_2819_on_b.jpg,$90.99-$228
REGAL BLAZER,https://www.aritzia.com/en/product/regal-blazer/123196.html?dwvar_123196_color=11420,https://assets.aritzia.com/image/upload/medium/f24_a04_123196_11420_on_b.jpg,$228
PACINO VEST,https://www.aritzia.com/en/product/pacino-vest/113937.html?dwvar_113937_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a04_113937_30751_on_b.jpg,$46.99-$118
GENERATION DOUBLE-BREASTED BLAZER,https://www.aritzia.com/en/product/generation-double-breasted-blazer/123157.html?dwvar_123157_color=30751,https://assets.aritzia.com/image/upload/medium/f24_a04_123157_30751_on_b.jpg,$248
LITTLE CROPPED JACKET,https://www.aritzia.com/en/product/little-cropped-jacket/95337.html?dwvar_95337_color=11420,https://assets.aritzia.com/image/upload/medium/f24_a04_95337_11420_on_b.jpg,$98.99-$198
ETIQUETTE BLAZER,https://www.aritzia.com/en/product/etiquette-blazer/118278.html?dwvar_118278_color=34050,https://assets.aritzia.com/image/upload/medium/s25_a04_118278_34050_on_b.jpg,$248
VOGUE BLAZER,https://www.aritzia.com/en/product/vogue-blazer/107590.html?dwvar_107590_color=30751,https://assets.aritzia.com/image/upload/medium/f24_a04_107590_30751_on_b.jpg,$268
ROCCO VEST,https://www.aritzia.com/en/product/rocco-vest/110738.html?dwvar_110738_color=11420,https://assets.aritzia.com/image/upload/medium/s25_a02_110738_11420_on_b.jpg,$46.99-$118
GENERATION BLAZER,https://www.aritzia.com/en/product/generation-blazer/113710.html?dwvar_113710_color=1274,https://assets.aritzia.com/image/upload/medium/f23_04_a04_113710_1274_on_b.jpg,$123.99-$248
GENERATION LINEN BLAZER,https://www.aritzia.com/en/product/generation-linen-blazer/116427.html?dwvar_116427_color=21352,https://assets.aritzia.com/image/upload/medium/s24_04_a04_116427_21352_on_b.jpg,$178.50-$238
POWER BLAZER,https://www.aritzia.com/en/product/power-blazer/124279.html?dwvar_124279_color=15960,https://assets.aritzia.com/image/upload/medium/s25_a04_124279_15960_on_b.jpg,$90.99-$228
THERESE BLAZER,https://www.aritzia.com/en/product/therese-blazer/120001.html?dwvar_120001_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_120001_1274_on_b.jpg,$98.99-$186
SIGNET VEST,https://www.aritzia.com/en/product/signet-vest/123845.html?dwvar_123845_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a03_123845_30751_on_b.jpg,$78
DENIRO VEST,https://www.aritzia.com/en/product/deniro-vest/109189.html?dwvar_109189_color=30751,https://assets.aritzia.com/image/upload/medium/s24_01_a04_109189_30751_on_b.jpg,$50.99
REGAL LINEN VEST,https://www.aritzia.com/en/product/regal-linen-vest/124183.html?dwvar_124183_color=21352,https://assets.aritzia.com/image/upload/medium/s25_a04_124183_21352_on_b.jpg,$118
EXECUTIVE BLAZER,https://www.aritzia.com/en/product/executive-blazer/123235.html?dwvar_123235_color=19629,https://assets.aritzia.com/image/upload/medium/f24_a04_123235_19629_off_a.jpg,$98.99-$123.99
DENIRO VEST,https://www.aritzia.com/en/product/deniro-vest/119189.html?dwvar_119189_color=32835,https://assets.aritzia.com/image/upload/medium/f24_a04_119189_32835_on_b.jpg,$58.99-$118
RATIO BLAZER,https://www.aritzia.com/en/product/ratio-blazer/122323.html?dwvar_122323_color=33437,https://assets.aritzia.com/image/upload/medium/f24_a04_122323_33437_on_b.jpg,$90.99-$113.99
NEW GENERATION BLAZER,https://www.aritzia.com/en/product/new-generation-blazer/120525.html?dwvar_120525_color=33716,https://assets.aritzia.com/image/upload/medium/f24_a04_120525_33716_on_b.jpg,$123.99-$248
DON BLAZER,https://www.aritzia.com/en/product/don-blazer/123706.html?dwvar_123706_color=11420,https://assets.aritzia.com/image/upload/medium/f24_a04_123706_11420_on_b.jpg,$186
PACINO LINEN VEST,https://www.aritzia.com/en/product/pacino-linen-vest/124182.html?dwvar_124182_color=21352,https://assets.aritzia.com/image/upload/medium/s25_a04_124182_21352_on_b.jpg,$118
NEW GENERATION BLAZER,https://www.aritzia.com/en/product/new-generation-blazer/121462.html?dwvar_121462_color=6046,https://assets.aritzia.com/image/upload/medium/f24_a04_121462_6046_on_b.jpg,$201
REGAL VEST,https://www.aritzia.com/en/product/regal-vest/123251.html?dwvar_123251_color=30793,https://assets.aritzia.com/image/upload/medium/f24_a04_123251_30793_on_b.jpg,$118
STANDOUT DOUBLE-BREASTED BLAZER,https://www.aritzia.com/en/product/standout-double-breasted-blazer/122741.html?dwvar_122741_color=6046,https://assets.aritzia.com/image/upload/medium/f24_a04_122741_6046_on_b.jpg,$248
REGAL WOOL VEST,https://www.aritzia.com/en/product/regal-wool-vest/122996.html?dwvar_122996_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_122996_1274_on_b.jpg,$88.50
NEW DESTINY BLAZER,https://www.aritzia.com/en/product/new-destiny-blazer/124319.html?dwvar_124319_color=1274,https://assets.aritzia.com/image/upload/medium/f24_a04_124319_1274_on_b.jpg,$187.60
PROPOSITION BLAZER,https://www.aritzia.com/en/product/proposition-blazer/120712.html?dwvar_120712_color=11420,https://assets.aritzia.com/image/upload/medium/f24_a04_120712_11420_on_b.jpg,$123.99
